,name,artist,release_year,duration,popularity,valence,energy,acousticness,danceability
00QyLmjxaSEE8qIZQjBXBj,We Own It (Fast & Furious),2 Chainz,2013,227.893,0.67,0.557,0.897,0.0596,0.553
0385HqYimoTQaHZP17KwG1,We Found Love,Calvin Harris,2012,215.52,0.21,0.608,0.776,0.0234,0.738
04KsMCb9PZE2S0AtUU8Jhb,April Showers,Proleter,2011,275.751,0.58,0.902,0.546,0.28,0.801
04YSVJjUnZED8YNXlQR1fk,White Christmas,Irving Berlin,1990,160.013,0.52,0.443,0.09090000000000001,0.927,0.506
06dT0EYXrhRQV1MsvWhNGv,Bad (feat. Vassy),David Guetta,2014,170.625,0.55,0.41100000000000003,0.972,0.00125,0.614
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC,1980,255.493,0.84,0.763,0.7000000000000001,0.011,0.31
0BB9eUBBaaX6GALSYNcEp7,You Spin Me Round (Like a Record),Dead Or Alive,1985,196.8,0.72,0.96,0.851,0.006,0.554
0C80GCp0mMuBzLf3EAXqxv,Shoot to Thrill,AC/DC,1980,317.426,0.71,0.48,0.904,0.00023899999999999998,0.457
0DFRrABd2ppHhS3QaZuCJ1,Fuck Tha Police,N.W.A.,1996,343.373,0.62,0.737,0.837,0.00956,0.85
0EYOdF5FCkgOJJla8DI2Md,B.Y.O.B.,System Of A Down,2005,255.466,0.78,0.716,0.981,0.006620000000000001,0.556
0F0MA0ns8oXwGw66B2BSXm,Let's Dance,David Bowie,1983,457.133,0.7000000000000001,0.709,0.7030000000000001,0.00388,0.619
0FDzzruyVECATHXKHFs9eJ,A Sky Full of Stars,Coldplay,2014,268.466,0.78,0.153,0.636,0.007130000000000001,0.551
0FE9t6xYkqWXU2ahLh6D8X,Shape of You,Ed Sheeran,2017,233.712,0.88,0.931,0.652,0.581,0.8250000000000001
0GO1QWs0YvDmmoTHUqitvf,In the Hall of the Mountain King,Trent Reznor and Atticus Ross,2010,141.348,0.44,0.0666,0.14,0.745,0.232
0HFx7PLqzGxSfN59j3UHmR,Want to Want Me,Jason Derulo,2015,207.719,0.56,0.656,0.68,0.00906,0.775
0J6mQxEZnlRt9ymzFntA6z,Livin' On A Prayer,Bon Jovi,1986,249.293,0.74,0.72,0.887,0.07680000000000001,0.534
0JOw67rq2X6NDz5AJP9uIG,Hound Dog,Elvis Presley,2002,133.293,0.55,0.9400000000000001,0.884,0.62,0.343
